"HLS80_500mBarN2"
"Start of Experiment";"User";"Cell No";"Label";"Operation Mode";"Cell Area [cm^2]"
2017-04-04 16:52:37;TF;52;Oct1143;1;0.3
"Measurement No";"Time";"Pmp [mW/cm^2]";"Vmp [mV]";"Jmp [mA/cm^2]";"Voc [mV]";"Jsc [mA/cm^2]";"FF";"Stability";"Temperature [°C]";"Illumination";"Humidity [%]"
278;05:19:00:28;3.436;143.4;23.959;621;39.429;0.14;0.631;82.964;5.771;0.197
279;05:19:30:28;3.439;143.4;23.983;640.8;39.435;0.136;0.632;82.976;5.771;0.199
280;05:20:00:28;3.418;141.84;24.099;627;39.38;0.138;0.628;82.972;5.77;0.198
281;05:20:30:29;3.412;142.2;23.993;648;39.459;0.133;0.627;83.046;5.769;0.196
282;05:21:00:29;3.398;141.48;24.019;624;39.374;0.138;0.624;82.978;5.768;0.198
283;05:21:30:29;3.392;143.4;23.653;610.667;39.398;0.141;0.623;82.934;5.768;0.199
284;05:22:00:29;3.401;141.48;24.039;662;39.368;0.13;0.625;82.972;5.766;0.195
285;05:22:30:29;3.386;141.6;23.912;633.6;39.349;0.136;0.622;82.965;5.768;0.195
286;05:23:00:29;3.396;141.84;23.945;648;39.288;0.133;0.624;83.049;5.764;0.194
287;05:23:30:29;3.38;141.6;23.867;635;39.294;0.135;0.621;83.011;5.766;0.202
288;06:00:00:29;3.379;142.68;23.682;646.5;39.398;0.133;0.621;82.973;5.764;0.201
289;06:00:30:29;3.358;141.36;23.755;633;39.294;0.135;0.617;82.998;5.765;0.205
290;06:01:00:29;3.374;141.24;23.888;640.5;39.185;0.134;0.62;82.996;5.764;0.205
291;06:01:30:29;3.354;143.04;23.448;649;39.331;0.131;0.616;83.009;5.765;0.207
292;06:02:00:29;3.359;141.36;23.761;618.667;39.325;0.138;0.617;83.1;5.762;0.205
293;06:02:30:29;3.365;141.36;23.804;632.571;39.325;0.135;0.618;82.966;5.765;0.207
294;06:03:00:30;3.381;143.16;23.62;622.857;39.264;0.138;0.621;82.975;5.765;0.203
295;06:03:30:29;3.354;139.2;24.097;610.105;39.288;0.14;0.616;82.967;5.767;0.206
296;06:04:00:29;3.364;142.68;23.577;640.364;39.258;0.134;0.618;83.069;5.768;0.205
297;06:04:30:30;3.358;139.2;24.123;621.75;39.331;0.137;0.617;82.976;5.765;0.208
298;06:05:00:30;3.365;141.36;23.803;608.571;39.355;0.14;0.618;83.003;5.769;0.206
299;06:05:30:30;3.37;142.8;23.6;678;39.355;0.126;0.619;82.971;5.765;0.207
300;06:06:00:29;3.359;142.56;23.56;639.273;39.24;0.134;0.617;82.974;5.768;0.205
301;06:06:30:30;3.361;141.6;23.735;622.588;39.355;0.137;0.618;82.967;5.769;0.206
302;06:07:00:29;3.364;140.28;23.982;649.091;39.319;0.132;0.618;82.969;5.767;0.206
303;06:07:30:30;3.358;140.16;23.961;615;39.288;0.139;0.617;83.012;5.767;0.207
304;06:08:00:29;3.349;143.4;23.352;622;39.307;0.137;0.615;83.003;5.769;0.206
305;06:08:30:29;3.366;141.36;23.808;624;39.307;0.137;0.619;82.965;5.769;0.207
306;06:09:00:30;3.356;141;23.804;633.6;39.313;0.135;0.617;83.008;5.77;0.206
307;06:09:30:30;3.361;141.24;23.797;637;39.294;0.134;0.618;82.966;5.772;0.206
308;06:10:00:30;3.367;143.04;23.536;638.571;39.258;0.134;0.619;82.97;5.77;0.206
309;06:10:30:31;3.356;140.64;23.863;624;39.319;0.137;0.617;83.031;5.767;0.206
310;06:11:00:31;3.355;141.12;23.773;636;39.362;0.134;0.617;82.962;5.77;0.204
311;06:11:30:31;3.356;141.96;23.644;633.6;39.301;0.135;0.617;83.016;5.77;0.206
312;06:12:00:31;3.365;142.56;23.603;632;39.331;0.135;0.618;82.923;5.772;0.206
313;06:12:30:31;3.349;142.2;23.553;625.846;39.282;0.136;0.615;82.937;5.772;0.204
314;06:13:00:31;3.351;140.76;23.809;606;39.355;0.141;0.616;82.904;5.77;0.205
315;06:13:30:31;3.356;140.4;23.9;637.714;39.264;0.134;0.617;82.967;5.77;0.205
316;06:14:00:31;3.347;141.12;23.715;636.462;39.258;0.134;0.615;83.054;5.768;0.205
317;06:14:30:32;3.341;140.88;23.714;631.5;39.282;0.135;0.614;82.911;5.769;0.208
318;06:15:00:32;3.356;142.32;23.578;624;39.307;0.137;0.617;82.997;5.771;0.204
319;06:15:30:32;3.644;148.08;24.611;635.25;39.716;0.144;0.67;82.967;5.772;0.215
320;06:16:00:32;3.39;142.56;23.782;630.667;39.355;0.137;0.623;83.063;5.771;0.208
321;06:16:30:32;3.365;140.76;23.904;666;39.294;0.129;0.618;82.965;5.772;0.207
322;06:17:00:32;3.338;138.72;24.059;648;39.252;0.131;0.613;82.972;5.77;0.208
323;06:17:30:32;0.033;-300.12;-0.11;-236;-0.098;1.427;0.006;75.835;0.01;0.065
324;06:18:00:31;0.038;-300.12;-0.128;-228;-0.098;1.701;0.007;75.763;0.01;0.058
325;06:18:30:31;0.019;-288.12;-0.067;-165.6;-0.079;1.452;0.003;75.84;0.006;0.059
326;06:19:00:32;0.029;-300.12;-0.098;-172.8;-0.11;1.526;0.005;75.799;0.01;0.056
327;06:19:30:31;0.01;-288.12;-0.036;-240;-0.024;1.736;0.002;75.674;0.009;0.055
328;06:20:00:31;0.029;-300.12;-0.098;-128.571;-0.11;2.051;0.005;75.695;0.008;0.054
329;06:20:30:31;0.024;-300.12;-0.079;-112;-0.067;3.198;0.004;75.667;0.01;0.054
330;06:21:00:31;0.018;-288.12;-0.061;-254.4;-0.122;0.58;0.003;75.742;0.009;0.054
331;06:21:30:31;0.026;-300.12;-0.085;-214.4;-0.098;1.237;0.005;75.781;0.007;0.053
332;06:22:00:33;2.766;126;21.95;648;37.329;0.114;0.508;82.887;5.775;0.211
333;06:22:30:35;2.91;130.68;22.265;636;37.952;0.121;0.535;82.971;5.771;0.195
334;06:23:00:36;3.036;138.24;21.961;633.333;38.385;0.125;0.558;82.965;5.77;0.199
335;06:23:30:36;3.112;136.2;22.849;646.4;38.513;0.125;0.572;82.961;5.772;0.2
336;07:00:00:36;3.165;138.96;22.773;660;38.733;0.124;0.582;82.97;5.771;0.199
337;07:00:30:36;3.813;154.32;24.708;+unendlich;39.758;0;0.701;82.964;5.77;0.199
338;07:01:00:36;3.302;142.08;23.239;624;39.032;0.136;0.607;82.971;5.768;0.196
339;07:01:30:36;3.246;138.96;23.361;625.2;38.94;0.133;0.596;82.975;5.771;0.194
340;07:02:00:36;3.262;139.92;23.311;649.846;38.965;0.129;0.599;82.967;5.771;0.195
341;07:02:30:36;3.66;150.48;24.323;637.714;39.63;0.145;0.673;82.961;5.77;0.194
342;07:03:00:36;3.424;143.04;23.941;624;39.209;0.14;0.629;83.019;5.767;0.197
343;07:03:30:36;3.295;139.08;23.695;604;39.056;0.14;0.605;83.01;5.768;0.192
344;07:04:00:37;3.424;145.56;23.521;638.769;39.264;0.137;0.629;83.03;5.772;0.205
345;07:04:30:37;3.32;141;23.545;643.2;39.087;0.132;0.61;83.02;5.768;0.189
346;07:05:00:37;3.291;139.56;23.584;648.706;39.038;0.13;0.605;82.967;5.769;0.191
347;07:05:30:37;3.367;143.04;23.541;664;39.13;0.13;0.619;82.963;5.773;0.193
348;07:06:00:37;3.3;141.6;23.308;1.05553116122382E+17;39.063;0;0.606;82.965;5.771;0.188
349;07:06:30:37;3.291;139.2;23.639;644;39.026;0.131;0.605;83.011;5.77;0.189
350;07:07:00:37;3.288;140.04;23.482;610.909;39.038;0.138;0.604;82.918;5.773;0.189
351;07:07:30:37;3.278;138.12;23.73;650.4;39.063;0.129;0.602;83.08;5.771;0.191
352;07:08:00:37;3.285;142.44;23.063;642;38.995;0.131;0.604;82.922;5.773;0.189
353;07:08:30:37;3.288;140.88;23.34;594;39.069;0.142;0.604;83.04;5.77;0.188
354;07:09:00:37;3.283;138.48;23.708;-4394530248.395;39.087;0;0.603;82.969;5.771;0.189
355;07:09:30:37;3.285;140.04;23.459;642;39.099;0.131;0.604;82.968;5.771;0.19
356;07:10:00:37;3.291;137.28;23.975;644.308;39.087;0.131;0.605;82.979;5.77;0.186
357;07:10:30:38;3.291;141;23.341;650.4;39.081;0.129;0.605;82.902;5.771;0.188
358;07:11:00:38;3.3;137.4;24.014;633;39.117;0.133;0.606;82.959;5.772;0.187
359;07:11:30:38;3.298;141.48;23.312;654;39.117;0.129;0.606;82.963;5.775;0.191
360;07:12:00:38;3.294;137.16;24.019;669;39.032;0.126;0.605;83.077;5.774;0.186
361;07:12:30:38;3.293;141;23.356;644;39.16;0.131;0.605;83.042;5.774;0.19
362;07:13:00:38;3.287;139.92;23.494;628;39.056;0.134;0.604;82.971;5.771;0.187
363;07:13:30:38;3.289;141.48;23.249;642.462;39.056;0.131;0.604;82.97;5.774;0.186
364;07:14:00:38;3.282;137.28;23.91;651;39.075;0.129;0.603;82.967;5.773;0.191
365;07:14:30:38;3.283;140.16;23.424;652.615;39.081;0.129;0.603;82.968;5.776;0.19
366;07:15:00:39;3.28;140.28;23.381;639.75;39.02;0.131;0.603;82.97;5.774;0.192
367;07:15:30:39;3.283;140.04;23.444;636;39.087;0.132;0.603;82.899;5.773;0.19
368;07:16:00:39;3.291;141.72;23.223;654;39.075;0.129;0.605;82.958;5.769;0.189
369;07:16:30:39;3.281;141.36;23.208;646.5;39.05;0.13;0.603;82.969;5.766;0.186
370;07:17:00:39;3.286;136.56;24.059;637.714;39.001;0.132;0.604;82.974;5.764;0.186
371;07:17:30:39;3.273;139.56;23.455;649.8;38.91;0.129;0.601;82.916;5.765;0.185
372;07:18:00:39;3.278;137.28;23.878;644;39.087;0.13;0.602;82.968;5.771;0.185
373;07:18:30:39;3.25;137.88;23.575;635.294;38.959;0.131;0.597;83.085;5.763;0.183
374;07:19:00:39;3.261;138;23.629;628.5;39.032;0.133;0.599;83.008;5.765;0.183
375;07:19:30:39;3.26;140.28;23.24;648;38.995;0.129;0.599;82.975;5.769;0.184
376;07:20:00:39;3.252;137.76;23.606;648;39.014;0.129;0.598;82.967;5.771;0.188
377;07:20:30:40;3.247;138.36;23.465;648;38.971;0.129;0.597;83.033;5.769;0.185
378;07:21:00:40;3.243;138.48;23.42;621;38.928;0.134;0.596;82.967;5.771;0.185
379;07:21:30:40;3.246;139.92;23.201;598.4;38.989;0.139;0.596;82.962;5.772;0.185
380;07:22:00:40;3.232;141;22.921;654.857;38.947;0.127;0.594;82.967;5.772;0.184
381;07:22:30:40;3.243;137.76;23.541;645.429;38.861;0.129;0.596;83.017;5.77;0.184
382;07:23:00:40;3.222;137.4;23.449;634.154;38.947;0.13;0.592;82.97;5.77;0.185
383;07:23:30:40;3.227;138.24;23.341;646.8;38.953;0.128;0.593;82.972;5.767;0.184
